tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
50339	Thermoplasma volcanium	Thermoplasma	Thermoplasmataceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
399579	Thermogymnomonas acidicola	Thermogymnomonas		Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
1054217	Thermoplasmatales archaeon BRNA1			Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
1495144	methanogenic archaeon ISO4-H5				Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
379547	Aciduliprofundum boonei	Aciduliprofundum				Euryarchaeota	Diaforarchaea group	Archaea			
673860	Aciduliprofundum sp. MAR08-339	Aciduliprofundum				Euryarchaeota	Diaforarchaea group	Archaea			
256826	Methanobacterium aarhusense	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1615586	Methanobacterium aggregans	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
392018	Methanobacterium alcaliphilum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
386456	Methanobacterium arcticum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
242129	Methanobacterium beijingense	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2161	Methanobacterium bryantii	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
118062	Methanobacterium congolense	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
83565	Methanobacterium espanolae	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
710191	Methanobacterium ferruginis	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
490098	Methanobacterium flexile	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2162	Methanobacterium formicicum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2163	Methanobacterium ivanovii	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
483896	Methanobacterium kanagiense	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
877455	Methanobacterium lacus	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
493461	Methanobacterium movens	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1036678	Methanobacterium movilense	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
69540	Methanobacterium oryzae	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
868131	Methanobacterium paludis	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2171	Methanobacterium palustre	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
710190	Methanobacterium petrolearium	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1379702	Methanobacterium sp. MB1	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1911685	Methanobacterium sp. MZ-A1	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
59277	Methanobacterium subterraneum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
83982	Methanobacterium thermaggregans	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
83983	Methanobacterium uliginosum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
408577	Methanobacterium veterum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
120963	Methanobrevibacter acididurans	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
39441	Methanobrevibacter arboriphilus	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1348249	Methanobrevibacter boviskoreani	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
49547	Methanobrevibacter curvatus	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
47311	Methanobrevibacter cuticularis	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
55758	Methanobrevibacter filiformis	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
190974	Methanobrevibacter gottschalkii	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
230361	Methanobrevibacter millerae	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
294671	Methanobrevibacter olleyae	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
66851	Methanobrevibacter oralis	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
83816	Methanobrevibacter ruminantium	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2173	Methanobrevibacter smithii	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
224719	Methanobrevibacter sp. AbM4	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1609968	Methanobrevibacter sp. YE315	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
190975	Methanobrevibacter thaueri	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
190976	Methanobrevibacter woesei	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
190977	Methanobrevibacter wolinii	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1077256	Methanosphaera cuniculi	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1789762	Methanosphaera sp. BMS	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2317	Methanosphaera stadtmanae	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1045764	Methanothermobacter crinale	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
49339	Methanothermobacter defluvii	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
145263	Methanothermobacter marburgensis	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
866790	Methanothermobacter sp. CaT2	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2603820	Methanothermobacter sp. KEPCO-1	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
680118	Methanothermobacter tenebrarum	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
145262	Methanothermobacter thermautotrophicus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
49340	Methanothermobacter thermoflexus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
49341	Methanothermobacter thermophilus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
145261	Methanothermobacter wolfeii	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2180	Methanothermus fervidus	Methanothermus	Methanothermaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
2181	Methanothermus sociabilis	Methanothermus	Methanothermaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Methanomada group	Archaea			
1301915	Methanocaldococcus bathoardescens	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
83171	Methanocaldococcus fervens	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
213231	Methanocaldococcus indicus	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
67760	Methanocaldococcus infernus	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
2190	Methanocaldococcus jannaschii	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
644281	Methanocaldococcus sp. FS406-22	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
667126	Methanocaldococcus villosus	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
73913	Methanocaldococcus vulcanius	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
213185	Methanotorris formicicus	Methanotorris	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
2189	Methanotorris igneus	Methanotorris	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
42879	Methanococcus aeolicus	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
39152	Methanococcus maripaludis	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
2187	Methanococcus vannielii	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
2188	Methanococcus voltae	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
155863	Methanothermococcus okinawensis	Methanothermococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
2186	Methanothermococcus thermolithotrophicus	Methanothermococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
2607662	Methanofervidicoccus sp. A16	Methanofervidicoccus		Methanococcales	Methanococci	Euryarchaeota	Methanomada group	Archaea			
1457250	Halapricum salinum	Halapricum	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
396317	Haloarcula amylolytica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
43776	Haloarcula argentinensis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
51589	Haloarcula hispanica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
29282	Haloarcula japonica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2238	Haloarcula marismortui	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
182779	Haloarcula quadrata	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
575195	Haloarcula salaria	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
35742	Haloarcula sinaiiensis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1592728	Haloarcula sp. CBA1115	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1932004	Haloarcula taiwanensis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
575194	Haloarcula tradensis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
28442	Haloarcula vallismortis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1429915	Halomicroarcula limicola	Halomicroarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1427151	Halomicroarcula pellucida	Halomicroarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
437163	Halomicrobium katesii	Halomicrobium	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
57705	Halomicrobium mukohataei	Halomicrobium	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
767519	Halomicrobium zhouii	Halomicrobium	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1775544	Halorhabdus rudnickae	Halorhabdus	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
430914	Halorhabdus tiamatea	Halorhabdus	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
146826	Halorhabdus utahensis	Halorhabdus	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1126241	Halorientalis brevis	Halorientalis	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1367881	Halorientalis persicus	Halorientalis	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
660518	Halorientalis regularis	Halorientalis	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1932360	Halorientalis sp. IM1011	Halorientalis	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1586233	Halosiccatus urmianus	Halosiccatus	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
171164	Halosimplex carlsbadense	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1198301	Halosimplex litoreum	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
869886	Halosimplex pelagicum	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
869889	Halosimplex rubrum	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1046043	Natronomonas gomsonensis	Natronomonas	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
416273	Natronomonas moolapensis	Natronomonas	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2257	Natronomonas pharaonis	Natronomonas	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1679096	Haloarculaceae archaeon HArcel1		Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
453847	Haladaptatus cibarius	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
553468	Haladaptatus litoreus	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1008152	Haladaptatus pallidirubidus	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
367189	Haladaptatus paucihalophilus	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
413810	Halalkalicoccus jeotgali	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1008153	Halalkalicoccus paucihalophilus	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2675002	Halalkalicoccus subterraneus	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
175632	Halalkalicoccus tibetensis	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1604004	Halanaeroarchaeum sulfurireducens	Halanaeroarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
489138	Halarchaeum acidiphilum	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1193105	Halarchaeum grantii	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
489913	Halarchaeum nitratireducens	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
489911	Halarchaeum rubridurum	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
489912	Halarchaeum salinum	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1073081	Halarchaeum solikamskense	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1198296	Haloarchaeobius amylolyticus	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1670458	Haloarchaeobius baliensis	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
996166	Haloarchaeobius iranensis	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
755306	Haloarchaeobius litoreus	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1198298	Haloarchaeobius salinus	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1407499	Halobacterium hubeiense	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
355548	Halobacterium jilantaiense	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
223182	Halobacterium noricense	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1341552	Halobacterium rubrum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2242	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
751944	Halobacterium sp. DL1	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1873524	Halodesulfurarchaeum formicicum	Halodesulfurarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
671145	Halomarina oriensis	Halomarina	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2071873	Halomarina rubra	Halomarina	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
755308	Halorubellus litoreus	Halorubellus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
755309	Halorubellus salinus	Halorubellus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1126242	Halorussus amylolyticus	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
660515	Halorussus rarus	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1126238	Halorussus ruber	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1364935	Halorussus salinus	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2505977	Halorussus sp. RC-68	Halorussus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2583824	Halostella pelagica	Halostella	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1547897	Halostella salina	Halostella	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
890420	Halovenus aranensis	Halovenus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
869890	Halovenus rubra	Halovenus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1510225	Halovenus salina	Halovenus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
926360	Natronoarchaeum mannanilyticum	Natronoarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1968283	Natronoarchaeum persicum	Natronoarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
558529	Natronoarchaeum philippinense	Natronoarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
555573	Salarchaeum japonicum	Salarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2599399	Salarchaeum sp. JOR-1	Salarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1126234	Salinirubrum litoreum	Salinirubrum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1198300	Salinirussus salinus	Salinirussus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
179637	Halococcus dombrowskii	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
332168	Halococcus hamelinensis	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2250	Halococcus morrhuae	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
224402	Halococcus qingdaonensis	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
62319	Halococcus saccharolyticus	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
36738	Halococcus salifodinae	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1264579	Halococcus sediminicola	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
335952	Halococcus thailandensis	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
2592614	Halobellus captivus	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
660517	Halobellus clavatus	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
1126236	Halobellus inordinatus	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Stenosarchaea group	Archaea			
